factor	Group		
nope	TOC34_PEA		
nope	PXG4_ARATH		
nope	C71A9_SOYBN		
nope	GLTP2_ARATH		
nope	IST1_HUMAN		
nope	CHR20_ARATH		
nope	HMNGT_SORBI		
nope	AIG2L_ARATH		
nope	SPZ2B_WHEAT		
nope	NRX3_ARATH		
nope	AB12G_ARATH		
nope	Y1745_ARATH		
nope	PPA17_ARATH		
nope	ICS1_ARATH		
nope	R1A6_SOLDE		
nope	GLUA_DICDI		
nope	MAG2L_ARATH		
nope	COI1B_ORYSJ		
nope	WTR14_ARATH		
nope	RADL3_ARATH		
nope	UREA_ORYSJ		
nope	ODBB2_ARATH		
nope	CDI8_ARATH		
nope	TIP11_MAIZE		
nope	C3H46_ORYSJ		
nope	B120_ARATH		
nope	Y2124_NOSS1		
nope	NCS2_PAPSO		
nope	TYRPB_HAEIN		
nope	Y4OU_RHISN		
nope	MRS2B_ORYSJ		
nope	CP089_HUMAN		
nope	BGL15_ORYSJ		
nope	PHYK_MAIZE		
nope	KIN17_MOUSE		
nope	Y1677_ARATH		
nope	PEX6_ARATH		
nope	TLP1_PRUPE		
nope	PTBP3_ARATH		
nope	CDKAL_DROPS		
nope	CAS2_MALDO		
nope	SUB_ARATH		
nope	TET10_ARATH		
nope	XTH23_ARATH		
nope	PNMT_THLFG		
nope	Y2168_ARATH		
nope	B3GT2_ARATH		
nope	CIA2_ARATH		
nope	CYSP1_MAIZE		
nope	SIR4_ARATH		
nope	DYM_XENTR		
nope	LID2_SCHPO		
nope	CCT14_ORYSJ		
nope	LYSM1_HUMAN		
nope	AB25B_ORYSJ		
nope	TIP42_MAIZE		
nope	FCHO1_HUMAN		
nope	QCR9_SOLTU		
nope	RNAAM_HAEIN		
nope	DCUP_MAIZE		
nope	RTNLH_ARATH		
nope	RUS3_ARATH		
nope	THH1_ARATH		
nope	TLP14_ORYSJ		
nope	T5H_TAXCU		
nope	GT12_ORYSJ		
nope	PXC2_ARATH		
nope	TLCD2_DANRE		
nope	NUD18_ARATH		
nope	M3OM1_PEA		
nope	ACSS_MAIZE		
nope	RSMD_ECOLI		
nope	NO93_SOYBN		
nope	LOX5_ORYSJ		
nope	FXL14_HUMAN		
nope	U2AFA_ORYSJ		
nope	CP4F3_HUMAN		
nope	TPPC2_PONAB		
nope	LAAT1_CAEEL		
nope	PSAA_SORBI		
nope	GDL7_ARATH		
nope	ENDO4_ARATH		
nope	SEC14_ASHGO		
nope	CBF5_ARATH		
nope	PDX2_ARATH		
nope	MLO15_ARATH		
nope	XTH22_ARATH		
nope	SC24A_ARATH		
nope	Y1341_ORYSJ		
nope	ELI6_HORVU		
nope	RA51D_ARATH		
nope	CDC27_BOVIN		
nope	PI3K_ARATH		
nope	SEUSS_ARATH		
nope	RBOHC_SOLTU		
nope	R1C3_SOLDE		
nope	GYP7_DEBHA		
nope	NIFU3_ARATH		
nope	TMM56_HUMAN		
nope	VP372_ARATH		
nope	INVH_ARATH		
nope	CCH_ARATH		
nope	PTR11_ARATH		
nope	CTS2_COFAR		
nope	DNAJ_PEWBP		
nope	YCH4_YEAST		
nope	UGDH3_ORYSJ		
nope	E1312_ARATH		
nope	YJ95_SCHPO		
nope	KPK2_ARATH		
nope	JMT_BRARP		
nope	JMT_ARATH		
nope	ECE2_BOVIN		
nope	DNAJ_BLOFL		
nope	RT10_ARATH		
nope	CSA1_ARATH		
nope	PR2E2_ORYSJ		
nope	CCD22_ORYSJ		
nope	CADH3_ORYSJ		
nope	LUH_ARATH		
nope	RAC4_ORYSJ		
nope	BRX1_BOVIN		
nope	CHI5_ORYSJ		
nope	CDKC3_ORYSJ		
nope	BGAL_THEMA		
nope	RNF13_CHICK		
nope	CAR9_ARATH		
nope	ARSB_DICDI		
nope	STA1_ARATH		
nope	CID8_ARATH		
nope	GATC_SORBI		
nope	PPR74_ARATH		
nope	PSB7B_ARATH		
nope	THO4C_ARATH		
nope	PSBE_WHEAT		
nope	TBCC1_BOVIN		
nope	PAI1_ARATH		
nope	BCHC1_ARATH		
nope	ARP3_ARATH		
nope	SPXM2_ORYSJ		
nope	AMYB_TRIRP		
nope	AAE13_ARATH		
nope	TBA3_MAIZE		
nope	XLG3_ARATH		
nope	BROM1_ANACO		
nope	PARN_ARATH		
nope	MAD14_ORYSJ		
nope	PPO_VITVI		
nope	ORTH2_ARATH		
nope	D6KL2_ARATH		
nope	PUR9_HELMI		
nope	RRAA2_ARATH		
nope	PCP_BOVIN		
nope	GRP1_SORBI		
nope	HLL_ARATH		
nope	RADL6_ARATH		
nope	P2C29_ORYSJ		
nope	PTR23_ARATH		
nope	CCD94_DICDI		
nope	CPL2_ARATH		
nope	PLDB1_ARATH		
nope	PRA1H_ARATH		
nope	GRF2_ARATH		
nope	YBQ2_SCHPO		
nope	SMC4_ARATH		
nope	GPN2_MOUSE		
nope	RBS_MAIZE		
nope	EYA_DROME		
nope	PGTB1_ARATH		
nope	CAX1A_ORYSJ		
nope	TATD1_HUMAN		
nope	LRC57_DANRE		
nope	PP124_ARATH		
nope	FLXL4_ARATH		
nope	SYGM1_ARATH		
nope	THI42_SORBI		
nope	P4H4_ARATH		
nope	C71E1_SORBI		
nope	P2C53_ORYSJ		
nope	TYRP_SHIFL		
nope	INT9_NEMVE		
nope	ATL41_ORYSJ		
nope	MUL1_XENLA		
nope	IAA2_ORYSJ		
nope	TBL11_ARATH		
nope	C71A1_PERAE		
nope	COQ3_ARATH		
nope	ARAS2_ARATH		
nope	CRBN_BOVIN		
nope	HSP21_MAIZE		
nope	AGD12_ARATH		
nope	GATA_MAIZE		
nope	PR38B_HUMAN		
nope	CHLG_ORYSJ		
nope	NET3A_ARATH		
nope	PP192_ARATH		
nope	GCSP_SOLTU		
nope	MFDX1_ARATH		
nope	H32_WHEAT		
nope	BSL2_ARATH		
nope	BH148_ORYSJ		
nope	DESI1_HUMAN		
nope	DXS2_ORYSJ		
nope	AB9B_ARATH		
nope	PMTR_ARATH		
nope	PARP1_MAIZE		
nope	DHRS7_MOUSE		
nope	HLS1_ARATH		
nope	GTE1_ARATH		
nope	TRPT1_DANRE		
nope	DGAT1_ARATH		
nope	KSL5_ORYSI		
nope	AKRP_ARATH		
nope	LTD_ORYSJ		
nope	CP450_HELAN		
nope	CYBP_MOUSE		
nope	ADCS_ORYSJ		
nope	H33_HORVU		
nope	TRNH_DATST		
nope	MSL10_ARATH		
nope	CHMP5_DICDI		
nope	H2A_PETCR		
nope	CNR6_MAIZE		
nope	RS18_THET8		
nope	U88F4_MALDO		
nope	H2A5_ORYSJ		
nope	PTR30_ARATH		
nope	Y2253_MYCBO		
nope	CDG1_ARATH		
nope	MAP1B_ARATH		
nope	HDT1_MAIZE		
nope	JM705_ORYSJ		
nope	DRG3_ARATH		
nope	GRIK2_ARATH		
nope	CDPKM_ARATH		
nope	DXR_ORYSJ		
nope	AHSA_DICDI		
nope	CAR5_ARATH		
nope	BT3L4_DANRE		
nope	NAC77_ORYSJ		
nope	PIGS_BOVIN		
nope	EPT1_SCHPO		
nope	MEG5_MAIZE		
nope	RK34_SPIOL		
nope	VP13E_DICDI		
nope	PQBP1_RAT		
nope	ZSS1_ZINZE		
nope	RBP17_HUMAN		
nope	ISOA2_ARATH		
nope	TPS4_MEDTR		
nope	LISC2_ORYSI		
nope	RIR1_ARATH		
nope	6PGL4_ORYSI		
nope	AFC2_ARATH		
nope	BGAL7_ORYSJ		
nope	AIB_ARATH		
nope	DNAJ_BACCZ		
nope	TRS20_SCHPO		
nope	CASP_ARATH		
nope	CKX4_ORYSJ		
nope	ATPB_HORVU		
nope	CAF2M_ORYSJ		
nope	RNH1_BACHD		
nope	AVCO1_AVESA		
nope	Y2245_ARATH		
nope	UCH1_ARATH		
nope	PUB57_ORYSJ		
nope	MYO5_ARATH		
nope	CYBP_RAT		
nope	GSTF_HYOMU		
nope	MTP1_ORYSJ		
nope	IDND_VITVI		
nope	PSD2_ARATH		
nope	COG6_MOUSE		
nope	SPSA3_ARATH		
nope	SPA_SOLLC		
nope	STR7_ARATH		
nope	BGL05_ORYSJ		
nope	OEP24_ORYSI		
nope	NDHS_ARATH		
nope	CX5B1_ARATH		
nope	TIM16_DROME		
nope	LUC7L_MOUSE		
nope	FAD3C_RICCO		
nope	CSLF3_ORYSJ		
nope	YAM3_SCHPO		
nope	YL12B_YEAST		
nope	NIN3_ORYSJ		
nope	PUB31_ARATH		
nope	GCP4_MEDTR		
nope	C88A1_MAIZE		
nope	BGL14_ORYSJ		
nope	HAK19_ORYSJ		
nope	UFD1_RAT		
nope	XYLL1_ARATH		
nope	DIR15_ARATH		
nope	ENT5_ARATH		
nope	CP2A9_MESAU		
nope	CPGP2_ZINOF		
nope	FLA13_ARATH		
nope	TL1Y_ARATH		
nope	DPH1_CHICK		
nope	CSLG1_ARATH		
nope	CYB5E_ARATH		
nope	DGP3_ARATH		
nope	IFRH_LUPAL		
nope	DI194_ARATH		
nope	IRT2_ORYSJ		
nope	Y1675_ARATH		
nope	KYNB_BACCR		
nope	B2_DAUCA		
nope	VDAC3_ORYSJ		
nope	SEC23_YARLI		
nope	YI31B_YEAST		
nope	APT1_MAIZE		
nope	XLG2_ARATH		
nope	YIDH_SCHPO		
nope	DNJ63_ARATH		
nope	APK1_ARATH		
nope	CAX3_ORYSJ		
nope	RETO_PAPSO		
nope	RIBA2_ORYSJ		
nope	RH27_ORYSJ		
nope	C71Z7_ORYSJ		
nope	HS186_ORYSJ		
nope	RBM46_DANRE		
nope	ZADH2_BOVIN		
nope	SPSA4_ARATH		
nope	PP171_ARATH		
nope	ALG5_DROME		
nope	CCDA2_ORYSJ		
nope	NFYB2_ARATH		
nope	RK2_SACOF		
nope	TCP20_ARATH		
nope	DIOX2_ARATH		
nope	DWRF8_MAIZE		
nope	ANX2_ARATH		
nope	TIP12_ORYSJ		
nope	RTNLU_ARATH		
nope	CSCL5_ARATH		
nope	SKI11_ARATH		
nope	TAR2_ARATH		
nope	FKB62_ARATH		
nope	DNAJ_CARHZ		
nope	TAF1B_ORYSJ		
nope	QSOX1_ORYSJ		
nope	S14L5_XENTR		
nope	MAK16_DANRE		
nope	Y4958_ARATH		
nope	KCS20_ARATH		
nope	SRO3_ARATH		
nope	SLD1_BOROF		
nope	UBC28_ARATH		
nope	NMT1_ARATH		
nope	HPPD_HORVU		
nope	DTX18_ARATH		
nope	EBF1_ARATH		
nope	AMT32_ORYSJ		
nope	PALA_CRYNJ		
nope	PYRG_CLOTH		
nope	NRX2_ORYSJ		
nope	DCE_PETHY		
nope	PPA10_ARATH		
nope	AI5L3_ARATH		
nope	KCR2_ARATH		
nope	IMP1L_MOUSE		
nope	M3KE2_ARATH		
nope	CHR12_ARATH		
nope	CHIT1_MOUSE		
nope	EI2BD_RABIT		
nope	TYPA_HELPY		
nope	PP1_ORYSJ		
nope	TIM13_ORYSJ		
nope	CHMP1_ORYSJ		
nope	C71C1_MAIZE		
nope	PP14_ARATH		
nope	WDR26_DANRE		
nope	CSPLM_SORBI		
nope	H2B11_ORYSJ		
nope	PTH2_HUMAN		
nope	ATPB_AEGCR		
nope	ADHL3_ARATH		
nope	RPOT3_ARATH		
nope	YLS3_ARATH		
nope	SBT3I_ARATH		
nope	PERR_RAUSE		
nope	AROG_ARATH		
nope	FKB65_ARATH		
nope	GRC14_ORYSJ		
nope	PDI23_ORYSJ		
nope	SGF29_HUMAN		
nope	NDT1_ARATH		
nope	AP3S_ARATH		
nope	RHP16_SCHPO		
nope	FBT7_ARATH		
nope	TAA1_ARATH		
nope	FLS1_ARATH		
nope	MET16_DANRE		
nope	SYF1_SCHPO		
nope	MDMC_STRMY		
nope	SGT1_ORYSJ		
nope	CML32_ORYSJ		
nope	BLH1_ARATH		
nope	C78A3_SOYBN		
nope	AN321_ORYSJ		
nope	DUS2L_HUMAN		
nope	WDR20_MOUSE		
nope	GIP1_ARATH		
nope	ALF_ARATH		
nope	RM41A_XENLA		
nope	RS16_ORYSJ		
nope	C81D1_ARATH		
nope	RL354_ARATH		
nope	TCMO_GLYEC		
nope	RS253_ARATH		
nope	CYC_SOLLC		
nope	IAA24_ORYSJ		
nope	NUD14_ARATH		
nope	IMCL2_ORYSJ		
nope	PAPA3_CARPA		
nope	ANXD6_ARATH		
nope	DHE4_CHLSO		
nope	YRDC_RAT		
nope	SCP44_ARATH		
nope	USP_ORYSI		
nope	MAF1_XENLA		
nope	VIP2_HUMAN		
nope	TF2B_DICDI		
nope	NAC22_ARATH		
nope	DIR23_ARATH		
nope	P2C26_ORYSJ		
nope	FES1_NEOFI		
nope	PDR17_YEAST		
nope	UTP18_ARATH		
nope	TIP41_MAIZE		
nope	C71C2_MAIZE		
nope	ATPD_TOBAC		
nope	ISOA3_ARATH		
nope	CNGC4_ARATH		
nope	CM3_ARATH		
nope	MCFE_DICDI		
nope	STP4_ARATH		
nope	TGT2_ARATH		
nope	RAP21_ARATH		
nope	MFSD5_TAKRU		
nope	HOX25_ORYSI		
nope	APR1_ORYSJ		
nope	AB11I_ARATH		
nope	KLHL8_HUMAN		
nope	C75A1_PINTA		
nope	SDH32_ORYSJ		
nope	ZIP8_ORYSJ		
nope	GDL16_ARATH		
nope	ARGI1_ORYSI		
nope	NDF5_ARATH		
nope	UGDH2_ARATH		
nope	ACPH_RAT		
nope	GBP4_MOUSE		
nope	BXL1_ARATH		
nope	SK2_ORYSJ		
nope	KN12B_ARATH		
nope	M310_ARATH		
nope	GTE12_ARATH		
nope	CB2G_SOLLC		
nope	WEX_ARATH		
nope	PUS6_ORYSJ		
nope	BAT1_ARATH		
nope	SERC_ARATH		
nope	C3H7_ORYSJ		
nope	ERO2_ARATH		
nope	RBOHD_ARATH		
nope	PIF5_ARATH		
nope	BZIP9_ARATH		
nope	PUR7_VIGAC		
nope	CRK24_ARATH		
nope	DNAJ_THESQ		
nope	PSA1_ORYSJ		
nope	6HN3M_PSEPK		
nope	PTA12_ARATH		
nope	IST1L_DICDI		
nope	ZIP7_ORYSJ		
nope	GACP4_ARATH		
nope	SYT2_ARATH		
nope	Y1142_ARATH		
nope	HARB1_MOUSE		
nope	DCMC_RAT		
nope	PER1_MAIZE		
nope	PYRG1_HUMAN		
nope	C7263_MEDTR		
nope	UBP17_ARATH		
nope	U85A8_STERE		
nope	AFC3_ARATH		
nope	DI192_ORYSJ		
nope	HSP70_MAIZE		
nope	SMO12_ARATH		
nope	GCSY1_CUCME		
nope	MYB1_HORVU		
nope	NGBR_HUMAN		
nope	SIRB_ARATH		
nope	Y5843_ARATH		
nope	PNH1_ORYSJ		
nope	ENDOV_HUMAN		
nope	POLR_DROME		
